TX_DT,CIF_No,TransactionCountry,TransactionCountryHigherLevel,PriviledgeMerchantsGrp,LDESC,Sales_Type,Amount,TransCount
20260816,45349744,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,MYDIN MOHAMED HOLDINGS,CP,3635.12,1
20260807,45349744,RINGGIT MALAYSIA,LOCAL,ON US,GUARDIAN HEALTH-KLCC,CP,1791.69,1
20260807,45349744,RINGGIT MALAYSIA,OVERSEA,NOT ON US,GUARDIAN HEALTH-KLCC,CA,5477.8,1
20260810,45349744,RINGGIT MALAYSIA,LOCAL,ON US,MYDIN MOHAMED HOLDINGS,CA,3487.43,1
20260818,45349744,RINGGIT MALAYSIA,OVERSEA,ON US,GUARDIAN HEALTH-KLCC,CP,2331.73,1
20260803,45349744,RINGGIT MALAYSIA,LOCAL,NOT ON US,AEON CO (M) BHD-MID VALLEY,CP,2553.63,1
20260831,59287710,RINGGIT MALAYSIA,LOCAL,ON US,GRABPAY TOP UP,CA,2253.96,1
20260828,59287710,RINGGIT MALAYSIA,LOCAL,NOT ON US,MYDIN MOHAMED HOLDINGS,CA,392.8,1
20260808,59287710,RINGGIT MALAYSIA,LOCAL,NOT ON US,MYDIN MOHAMED HOLDINGS,CP,4121.5,1
20260806,59287710,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,HARVEY NORMAN-IOI CITY,CP,5955.75,1
20260807,59287710,RINGGIT MALAYSIA,OVERSEA,NOT ON US,LAZADA MALAYSIA,CP,439.11,1
20260709,59287710,RINGGIT MALAYSIA,LOCAL,NOT ON US,LOTUS'S STORES-CHERAS,CP,3929.2,1
20260820,59287710,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,SHOPEE PAY,CP,4727.69,1
20260811,59287710,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,GUARDIAN HEALTH-KLCC,CP,1943.85,1
20260811,59287710,RINGGIT MALAYSIA,OVERSEA,ON US,SHELL MALAYSIA,CA,1733.53,1
20260824,59287710,RINGGIT MALAYSIA,LOCAL,ON US,PARKSON GRAND-PAVILION,CA,3954.58,1
20260723,25075778,RINGGIT MALAYSIA,OVERSEA,ON US,KFC HOLDINGS,CP,2089.44,1
20251116,25075778,RINGGIT MALAYSIA,OVERSEA,NOT ON US,PETRONAS DAGANGAN,CP,859.66,1
20250917,25075778,RINGGIT MALAYSIA,LOCAL,ON US,COURTS MAMMOTH,CA,896.22,1
20260708,25075778,RINGGIT MALAYSIA,LOCAL,ON US,LOTUS'S STORES-CHERAS,CP,2111.54,1
20260409,25075778,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,TESCO STORES (M),CA,972.11,1
20260812,53609415,RINGGIT MALAYSIA,OVERSEA,NOT ON US,SHELL MALAYSIA,CP,3050.77,1
20260609,53609415,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,SHOPEE PAY,CA,3268.35,1
20260502,53609415,RINGGIT MALAYSIA,LOCAL,ON US,GUARDIAN HEALTH-KLCC,CP,5117.72,1
20260529,53609415,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHOPEE PAY,CP,1320.94,1
20251106,53609415,RINGGIT MALAYSIA,LOCAL,ON US,COURTS MAMMOTH,CP,67.63,1
20260704,53609415,RINGGIT MALAYSIA,OVERSEA,NOT ON US,TESCO STORES (M),CP,6009.11,1
20260113,53609415,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,GUARDIAN HEALTH-KLCC,CA,1578.61,1
20260711,53609415,RINGGIT MALAYSIA,LOCAL,NOT ON US,MYDIN MOHAMED HOLDINGS,CP,494.47,1
20251119,53609415,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,PETRONAS DAGANGAN,CP,3632.3,1
20251019,53609415,RINGGIT MALAYSIA,LOCAL,ON US,GRABPAY TOP UP,CA,1828.57,1
20260804,53609415,RINGGIT MALAYSIA,LOCAL,ON US,KFC HOLDINGS,CP,4182.46,1
20251207,53609415,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,WATSONS PERSONAL CARE,CA,121.11,1
20260319,53609415,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,PETRONAS DAGANGAN,CP,4017.35,1
20260820,84226773,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,TESCO STORES (M),CP,5752.17,1
20260817,84226773,RINGGIT MALAYSIA,LOCAL,NOT ON US,KFC HOLDINGS,CA,1859.52,1
20260409,84226773,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,MYDIN MOHAMED HOLDINGS,CP,4263.51,1
20260807,84226773,RINGGIT MALAYSIA,LOCAL,NOT ON US,GIANT HYPERMARKET-SHAH ALAM,CP,7097.86,1
20260408,84226773,RINGGIT MALAYSIA,LOCAL,NOT ON US,GUARDIAN HEALTH-KLCC,CP,1399.55,1
20260324,84226773,RINGGIT MALAYSIA,OVERSEA,ON US,LOTUS'S STORES-CHERAS,CP,729.11,1
20260718,84226773,RINGGIT MALAYSIA,LOCAL,ON US,TESCO STORES (M),CA,6870.37,1
20260829,84226773,RINGGIT MALAYSIA,OVERSEA,ON US,TESCO STORES (M),CP,878.8,1
20260313,84226773,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,AEON CO (M) BHD-MID VALLEY,CA,654.09,1
20260806,84226773,RINGGIT MALAYSIA,LOCAL,ON US,SHELL MALAYSIA,CP,4196.75,1
20260308,84226773,RINGGIT MALAYSIA,LOCAL,NOT ON US,SENHENG ELECTRIC,CA,3966.8,1
20260307,84226773,RINGGIT MALAYSIA,OVERSEA,NOT ON US,SENHENG ELECTRIC,CA,1158.79,1
20260622,84226773,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,SENHENG ELECTRIC,CP,2919.83,1
20260817,84226773,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,PETRONAS DAGANGAN,CP,1276.79,1
20260512,84226773,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,KFC HOLDINGS,CP,6384.7,1
20260222,84226773,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,AEON BIG (M) SDN BHD-KEPONG,CP,3153.44,1
20260518,84226773,RINGGIT MALAYSIA,LOCAL,NOT ON US,PARKSON GRAND-PAVILION,CP,5017.32,1
20260803,56089546,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,KFC HOLDINGS,CP,1272.55,1
20260807,56089546,RINGGIT MALAYSIA,OVERSEA,NOT ON US,PETRONAS DAGANGAN,CP,1090.68,1
20260825,56089546,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,MYDIN MOHAMED HOLDINGS,CP,1516.57,1
20260826,56089546,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,LOTUS'S STORES-CHERAS,CP,2128.77,1
20260418,56089546,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,LOTUS'S STORES-CHERAS,CP,509.56,1
20260429,56089546,RINGGIT MALAYSIA,LOCAL,NOT ON US,SENHENG ELECTRIC,CA,4938.05,1
20260422,56089546,RINGGIT MALAYSIA,OVERSEA,ON US,HARVEY NORMAN-IOI CITY,CA,3168.93,1
20260820,56089546,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,KFC HOLDINGS,CP,972.36,1
20260713,10558017,RINGGIT MALAYSIA,OVERSEA,ON US,GIANT HYPERMARKET-SHAH ALAM,CP,1256.6,1
20260207,10558017,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,ECONSAVE-JOHOR,CP,2491.42,1
20251230,10558017,RINGGIT MALAYSIA,OVERSEA,NOT ON US,KFC HOLDINGS,CP,3303.94,1
20260831,10558017,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,PETRONAS DAGANGAN,CP,1863.55,1
20260902,41975856,RINGGIT MALAYSIA,OVERSEA,ON US,MR DIY-SUNWAY PYRAMID,CP,5859.09,1
20260806,41975856,RINGGIT MALAYSIA,LOCAL,ON US,GRABPAY TOP UP,CP,4752.43,1
20260822,41975856,RINGGIT MALAYSIA,LOCAL,NOT ON US,WATSONS PERSONAL CARE,CP,5273.43,1
20260630,41975856,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,ECONSAVE-JOHOR,CP,1268.45,1
20260817,41975856,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,HARVEY NORMAN-IOI CITY,CP,2526.56,1
20260818,41975856,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,MCDONALD'S MALAYSIA,CP,147.67,1
20260810,41975856,RINGGIT MALAYSIA,LOCAL,ON US,SENHENG ELECTRIC,CA,5791.95,1
20260810,41975856,RINGGIT MALAYSIA,LOCAL,NOT ON US,HARVEY NORMAN-IOI CITY,CP,5089.59,1
20260822,41975856,RINGGIT MALAYSIA,OVERSEA,ON US,SHELL MALAYSIA,CP,4326.12,1
20260830,41975856,RINGGIT MALAYSIA,LOCAL,ON US,PETRONAS DAGANGAN,CP,357.12,1
20260803,79358085,RINGGIT MALAYSIA,LOCAL,NOT ON US,ECONSAVE-JOHOR,CP,6049.76,1
20260901,79358085,RINGGIT MALAYSIA,OVERSEA,ON US,HARVEY NORMAN-IOI CITY,CP,1032.16,1
20260309,25084086,RINGGIT MALAYSIA,LOCAL,NOT ON US,ZALORA MALAYSIA,CP,1443.61,1
20260803,25084086,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,LAZADA MALAYSIA,CA,5210.91,1
20260828,25084086,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,PETRONAS DAGANGAN,CP,5108.31,1
20260831,25084086,RINGGIT MALAYSIA,LOCAL,NOT ON US,WATSONS PERSONAL CARE,CA,191.42,1
20260826,25084086,RINGGIT MALAYSIA,LOCAL,NOT ON US,MR DIY-SUNWAY PYRAMID,CP,117.6,1
20260805,54244154,RINGGIT MALAYSIA,OVERSEA,ON US,LAZADA MALAYSIA,CP,1028.49,1
20260119,54244154,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,LOTUS'S STORES-CHERAS,CP,562.88,1
20260816,86518436,RINGGIT MALAYSIA,LOCAL,ON US,COURTS MAMMOTH,CA,4454.85,1
20260827,86518436,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,MYDIN MOHAMED HOLDINGS,CP,2106.26,1
20260827,86518436,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,GUARDIAN HEALTH-KLCC,CP,2599.57,1
20260826,86518436,RINGGIT MALAYSIA,LOCAL,NOT ON US,MCDONALD'S MALAYSIA,CA,2508.84,1
20260817,86518436,RINGGIT MALAYSIA,LOCAL,NOT ON US,LOTUS'S STORES-CHERAS,CP,350.02,1
20260901,86518436,RINGGIT MALAYSIA,OVERSEA,NOT ON US,TESCO STORES (M),CP,3850.96,1
20260808,86518436,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,MYDIN MOHAMED HOLDINGS,CP,1449.87,1
20260824,86518436,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,GUARDIAN HEALTH-KLCC,CP,2557.7,1
20260820,72887387,RINGGIT MALAYSIA,OVERSEA,NOT ON US,MYDIN MOHAMED HOLDINGS,CP,5664.16,1
20260815,72887387,RINGGIT MALAYSIA,LOCAL,NOT ON US,MR DIY-SUNWAY PYRAMID,CP,649.18,1
20260809,72887387,RINGGIT MALAYSIA,LOCAL,NOT ON US,HARVEY NORMAN-IOI CITY,CP,1740.34,1
20260601,72887387,RINGGIT MALAYSIA,LOCAL,ON US,PETRONAS DAGANGAN,CP,3773.01,1
20260817,72887387,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,PARKSON GRAND-PAVILION,CA,769.57,1
20260624,72887387,RINGGIT MALAYSIA,LOCAL,ON US,GIANT HYPERMARKET-SHAH ALAM,CP,1470.56,1
20260731,72887387,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,COURTS MAMMOTH,CP,3329.23,1
20260821,72887387,RINGGIT MALAYSIA,LOCAL,ON US,ECONSAVE-JOHOR,CP,3611.81,1
20260527,72887387,RINGGIT MALAYSIA,LOCAL,ON US,PARKSON GRAND-PAVILION,CP,5062.19,1
20260811,72887387,RINGGIT MALAYSIA,LOCAL,ON US,PARKSON GRAND-PAVILION,CP,5474.36,1
20260528,72887387,RINGGIT MALAYSIA,LOCAL,NOT ON US,GUARDIAN HEALTH-KLCC,CP,5274.76,1
20260831,72887387,RINGGIT MALAYSIA,LOCAL,NOT ON US,GIANT HYPERMARKET-SHAH ALAM,CA,1903.12,1
20260523,37308590,RINGGIT MALAYSIA,LOCAL,NOT ON US,ZALORA MALAYSIA,CA,299.79,1
20260813,37308590,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,PARKSON GRAND-PAVILION,CP,505.01,1
20260817,37308590,RINGGIT MALAYSIA,LOCAL,ON US,MR DIY-SUNWAY PYRAMID,CA,2920.92,1
20260227,37308590,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,AEON CO (M) BHD-MID VALLEY,CA,3644.44,1
20260809,37308590,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,PETRONAS DAGANGAN,CA,1125.47,1
20260514,37308590,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,MR DIY-SUNWAY PYRAMID,CP,3039.67,1
20260809,37308590,RINGGIT MALAYSIA,OVERSEA,NOT ON US,LAZADA MALAYSIA,CP,137.84,1
20260713,37308590,RINGGIT MALAYSIA,LOCAL,ON US,GUARDIAN HEALTH-KLCC,CP,236.62,1
20251218,37308590,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,GIANT HYPERMARKET-SHAH ALAM,CP,2121.66,1
20260501,37308590,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,KFC HOLDINGS,CP,3111.17,1
20260814,24305357,RINGGIT MALAYSIA,OVERSEA,NOT ON US,AEON CO (M) BHD-MID VALLEY,CP,5648.02,1
20260624,24305357,RINGGIT MALAYSIA,OVERSEA,ON US,SHELL MALAYSIA,CP,631.1,1
20260728,87290137,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,TESCO STORES (M),CP,4160.49,1
20260528,87290137,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,COURTS MAMMOTH,CA,1869.72,1
20260901,96272547,RINGGIT MALAYSIA,LOCAL,ON US,SHOPEE PAY,CP,3673.03,1
20260812,96272547,RINGGIT MALAYSIA,LOCAL,ON US,SENHENG ELECTRIC,CP,386.72,1
20260818,96272547,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,SENHENG ELECTRIC,CP,3208.9,1
20260809,96272547,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,WATSONS PERSONAL CARE,CP,5436.97,1
20260821,96272547,RINGGIT MALAYSIA,OVERSEA,ON US,AEON BIG (M) SDN BHD-KEPONG,CP,640.98,1
20260901,96272547,RINGGIT MALAYSIA,LOCAL,ON US,TESCO STORES (M),CP,1258.99,1
20260807,96272547,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,MCDONALD'S MALAYSIA,CP,787.34,1
20260815,96272547,RINGGIT MALAYSIA,LOCAL,ON US,MCDONALD'S MALAYSIA,CP,5990.65,1
20260902,96272547,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,SHELL MALAYSIA,CP,3120.46,1
20260826,96272547,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,ECONSAVE-JOHOR,CA,2603.82,1
20260501,39883970,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHOPEE PAY,CP,5750.97,1
20251027,39883970,RINGGIT MALAYSIA,LOCAL,NOT ON US,MCDONALD'S MALAYSIA,CP,3908.1,1
20250910,39883970,RINGGIT MALAYSIA,LOCAL,NOT ON US,HARVEY NORMAN-IOI CITY,CA,3218.09,1
20260207,93388962,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,HARVEY NORMAN-IOI CITY,CA,1885.33,1
20260306,93388962,RINGGIT MALAYSIA,LOCAL,ON US,MR DIY-SUNWAY PYRAMID,CA,2112.78,1
20260104,93388962,RINGGIT MALAYSIA,LOCAL,ON US,HARVEY NORMAN-IOI CITY,CP,726.74,1
20251004,93388962,RINGGIT MALAYSIA,OVERSEA,NOT ON US,ECONSAVE-JOHOR,CP,2321.77,1
20251014,93388962,RINGGIT MALAYSIA,LOCAL,NOT ON US,AEON CO (M) BHD-MID VALLEY,CA,179.06,1
20260610,93388962,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,TESCO STORES (M),CP,2339.93,1
20260529,93388962,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHOPEE PAY,CP,3243.83,1
20251117,93388962,RINGGIT MALAYSIA,LOCAL,ON US,AEON CO (M) BHD-MID VALLEY,CP,1401.38,1
20260527,97191317,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,TESCO STORES (M),CP,4070.59,1
20260306,97191317,RINGGIT MALAYSIA,OVERSEA,ON US,SHELL MALAYSIA,CP,3919.53,1
20251023,97191317,RINGGIT MALAYSIA,LOCAL,NOT ON US,GUARDIAN HEALTH-KLCC,CP,1273.61,1
20251021,97191317,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,AEON CO (M) BHD-MID VALLEY,CP,1425.99,1
20260524,97191317,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHELL MALAYSIA,CP,3260.3,1
20260822,97191317,RINGGIT MALAYSIA,LOCAL,NOT ON US,COURTS MAMMOTH,CA,693.87,1
20260813,97191317,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,ZALORA MALAYSIA,CP,3546.69,1
20260606,97191317,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHELL MALAYSIA,CP,2499.92,1
20260809,97191317,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,WATSONS PERSONAL CARE,CP,690.52,1
20260824,84642078,RINGGIT MALAYSIA,LOCAL,ON US,GIANT HYPERMARKET-SHAH ALAM,CP,6484.67,1
20260902,84642078,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,ZALORA MALAYSIA,CP,4714.15,1
20260901,84642078,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,AEON CO (M) BHD-MID VALLEY,CP,2555.82,1
20260824,84642078,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,GRABPAY TOP UP,CA,6659.73,1
20260815,84642078,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,AEON CO (M) BHD-MID VALLEY,CP,5905.88,1
20260831,84642078,RINGGIT MALAYSIA,LOCAL,ON US,AEON BIG (M) SDN BHD-KEPONG,CP,3291.19,1
20260831,84642078,RINGGIT MALAYSIA,LOCAL,NOT ON US,LOTUS'S STORES-CHERAS,CP,4802.22,1
20260831,84642078,RINGGIT MALAYSIA,OVERSEA,NOT ON US,SHELL MALAYSIA,CA,1645.47,1
20260808,84642078,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,ECONSAVE-JOHOR,CA,2612.17,1
20260820,84642078,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,LAZADA MALAYSIA,CP,3474.44,1
20260810,84642078,RINGGIT MALAYSIA,LOCAL,NOT ON US,ZALORA MALAYSIA,CP,1535.21,1
20260902,84642078,RINGGIT MALAYSIA,LOCAL,NOT ON US,KFC HOLDINGS,CP,6789.49,1
20260318,68548403,RINGGIT MALAYSIA,OVERSEA,NOT ON US,MYDIN MOHAMED HOLDINGS,CP,2903.46,1
