Rcd_DT,CIF_NO,APPL_NO,AGREE_NO,APPL_DT,APPL_STS,JUDGE_DT,SCORING_POINT,SCORING_TYPE,SCORING_RANK,LOAN_CODE,LOAN_TYP_ID,LOAN_GRP,AGENT_CODE1,AGENT_CODE2,APPL_CHANNEL,REJECT_CODE,FIN_AMT,FIN_PRFT_AMT,FIN_TOTAL_AMT,INST_AMT,DEPOSIT,INTEREST,TOTAL_INST,JointIncome_FG,SCORE_DECISION,NetIncome,Income,Age,HomeYear,YearOfBusiness,AnnualIncome,TOTAL_AEON_INST,TOTAL_AEON_OSB,CUR_REPAY_RATIO,NEW_REPAY_RATIO,NDI,CUR_DSR,NEW_DSR,B_OtherIncome,B_NonBankCommitment,DEPENDANT,YEAR_MADE,NOB,HomeOwner_flag,CIFState,Race,Gender,Marital,National,Occupation,Academic,B_AdvInstallPymt,AdvInstallPymtBand,JudgeWeek_FG,Biometric_FG,E-KYC,OTP,APPLY_FIN_AMT,PreAssessment_Flag
2026-09-02,40216008,00000000010,800000000010,20260901,Approve,20260922,826,3,C,181,16,1,7672,73,COUNTER,,6609.01,1556.42,8165.43,136.09,10,4.71,60, ,A,20645.65,20645.65,41,12,2,302917.56,12,69953.92,16.39,23.64,5376.29,7.25,18.21,156.35,1670.06,1,,Oil & Gas,N,Perak,Malay,M,SINGLE,MALAYSIAN,Factory Worker,Certificate,4282.17,,1,N,fail,fail,8314.85,N
2026-09-02,88852864,00000000011,800000000011,20260831,Approve,20260926,639,4,C,143,23,2,9201,37,COUNTER,,29250.42,11916.62,41167.04,490.08,20,5.82,84, ,A,17192.04,17192.04,35,2,7,257621.16,108,117264.64,25.58,27.09,6324.95,28.76,35.34,1168.43,160.41,0,,Agriculture,Y,Kedah,Indian,F,DIVORCED,MALAYSIAN,Supervisor,SPM,3348.27,B,,Y,fail,pass,44574.79,N
2026-09-02,90822188,00000000012,800000000012,20260830,Approve,20260904,855,1,F,172,30,,8242,33,PARTNER,,113472.38,31999.21,145471.59,2424.53,20,5.64,60, ,A,20205.5,20205.5,40,3,5,320002.92,12,98612.35,22.1,31.09,7742.45,23.84,34.45,2416.49,1824.81,5,,Wholesale,N,Sabah,Chinese,M,MARRIED,MALAYSIAN,Police Officer,Master Degree,1165.6,B,,N,fail,pass,131269.98,Y
2026-09-02,70615926,00000000013,800000000013,20260830,Approve,20260924,467,1,G,117,33,,5378,56,MOBILE_APP,,99081.04,60905.12,159986.16,1481.35,10,6.83,108,N,A,6352.64,6352.64,65,20,23,96392.04,84,36707.12,31.53,37.51,1275.91,36.03,37.83,2139.04,1840.56,4,,Real Estate,Y,Sarawak,Malay,F,MARRIED,MALAYSIAN,Teacher,Bachelor Degree,1421.9,,,N,fail,pass,140826.53,N
2026-09-02,19101846,00000000014,800000000014,20260830,Approve,20260909,809,3,F,120,16,3,8662,48,TELEMARKETING,,69276.07,24489.09,93765.16,1116.25,30,5.05,84, ,A,24376.36,24376.36,63,18,36,362774.76,12,76850.16,23.27,28.19,2699.35,17.68,28.5,2663.88,528.33,4,,Wholesale,N,Kuala Lumpur,Chinese,F,MARRIED,MALAYSIAN,Doctor,Diploma,1016.36,A,,N,fail,fail,93488.84,N
2026-09-02,45803474,00000000015,800000000015,20260902,Approve,20260913,879,1,D,157,19,3,7173,56,WEBSITE,,114337.95,40178.36,154516.31,1839.48,30,5.02,84,Y,A,20443.37,20443.37,52,27,6,290948.16,60,106519.76,15.8,20.64,1306.62,15.51,22.01,163.11,1902.61,1,,Food & Beverage,Y,Negeri Sembilan,Malay,M,SINGLE,MALAYSIAN,Businessman,Bachelor Degree,2573.2,A,1,Y,pass,fail,133838.8,N
2026-09-02,25615418,00000000016,800000000016,20260902,Approve,20260928,610,4,G,151,29,3,3587,18,TELEMARKETING,,30784.29,6113.76,36898.05,1024.95,5,6.62,36,-,A,14945.41,14945.41,28,10,0,214389.84,36,148207.17,21.37,31.25,7402.65,22.75,29.9,472.3,1882.47,0,,Telecommunications,Y,Selangor,Malay,M,SINGLE,MALAYSIAN,Engineer,SPM,1273.04,B,1,N,fail,fail,47247.06,N
2026-09-02,12002856,00000000017,800000000017,20260901,Approve,20260904,736,3,E,193,18,1,4192,15,PARTNER,,22851.84,10571.26,33423.1,309.47,30,5.14,108,N,A,23223.25,23223.25,56,33,6,354105.12,84,204182.08,22.99,30.5,3917.57,31.04,37.67,357.25,1279.44,4,,Financial Services,N,Pahang,Indian,M,MARRIED,MALAYSIAN,Nurse,STPM,832.02,C,,Y,fail,pass,29530.85,Y
2026-09-02,61799392,00000000018,800000000018,20260831,Approve,20260925,768,2,A,183,11,,9188,70,COUNTER,,97684.18,49496.57,147180.75,1362.78,30,5.63,108,N,A,15285.82,15285.82,39,3,3,215215.2,36,70080.32,17.86,22.83,1957.51,13.8,24.13,2801.7,1886.66,0,,Hospitality,N,Sabah,Malay,M,SINGLE,MALAYSIAN,Manager,Diploma,1586.31,C,,N,fail,fail,122605.24,Y
2026-09-02,47184732,00000000019,800000000019,20260902,Approve,20260922,745,1,G,115,17,3,5876,17,WEBSITE,,74168.99,19172.68,93341.67,1555.69,20,5.17,60,N,A,19168.21,19168.21,44,8,25,285921.24,60,117319.89,25.85,34.97,6213.73,27.29,36.75,227.76,1500.45,1,,Education,N,Sabah,Chinese,F,MARRIED,MALAYSIAN,Driver,Bachelor Degree,4943.21,,1,N,pass,fail,111533.19,Y
2026-09-02,39432371,00000000020,800000000020,20260831,Approve,20260916,152,1,C,198,21,3,9211,95,MOBILE_APP,,62603.8,15907.63,78511.43,2180.87,10,8.47,36,Y,A,3290.38,3290.38,63,34,2,45764.64,108,31031.64,50.08,51.9,4240.92,57.89,67.36,2506.67,1176.74,3,,Financial Services,Y,Kuala Lumpur,Chinese,F,MARRIED,MALAYSIAN,Technician,SPM,3519.19,,,N,fail,pass,101674.71,Y
2026-09-02,80244042,00000000021,800000000021,20260826,Approve,20260919,808,2,E,109,30,,5429,51,TELEMARKETING,,51305.6,13057.28,64362.88,1072.71,20,5.09,60, ,A,6933.08,6933.08,48,20,24,112004.16,36,47715.87,17.97,22.27,5588.58,16.01,27.59,1927.74,1898.28,0,,Retail Trade,Y,Johor,Indian,F,SINGLE,MALAYSIAN,Technician,Diploma,2263.83,A,1,N,pass,pass,83504.07,N
2026-09-02,68504671,00000000022,800000000022,20260830,Approve,20260925,743,4,B,155,16,3,7147,66,MOBILE_APP,,3304.52,1267.61,4572.13,54.43,5,5.48,84,Y,A,21167.43,21167.43,57,35,17,319910.16,36,65648.02,21.63,25.24,5122.94,18.23,26.16,2280.35,321.12,5,,Telecommunications,N,Sabah,Chinese,F,MARRIED,MALAYSIAN,Teacher,Master Degree,1552.41,,1,N,fail,pass,3732.26,N
2026-09-02,94997682,00000000023,800000000023,20260830,Approve,20260902,763,4,G,147,14,1,3866,76,WEBSITE,,41773.34,15351.7,57125.04,680.06,5,5.25,84, ,A,20352.22,20352.22,22,3,1,315551.88,36,136515.92,22.46,31.21,4887.53,26.97,28.75,2529.24,1046.23,0,,Agriculture,N,Kelantan,Indian,F,MARRIED,MALAYSIAN,Manager,Bachelor Degree,2250.24,,,Y,pass,pass,44904.21,N
2026-09-02,58696806,00000000024,800000000024,20260902,Approve,20261001,565,3,D,138,33,2,8906,77,COUNTER,,23539.04,11821.31,35360.35,327.41,20,5.58,108,-,A,8876.48,8876.48,56,1,31,140121.36,36,62272.89,35.83,37.21,2562.49,35.15,42.05,1923.51,960.53,4,2021,Wholesale,N,Sarawak,Malay,F,DIVORCED,MALAYSIAN,Chef,SPM,4233.18,A,1,N,fail,pass,38571.7,Y
2026-09-02,35945352,00000000025,800000000025,20260902,Approve,20260912,771,1,F,198,33,1,9307,36,COUNTER,,75809.87,24304.64,100114.51,1191.84,20,4.58,84,-,A,18773.49,18773.49,53,28,24,276006.36,12,85671.09,17.46,27.02,6675.19,16.95,19.91,1020.65,1695.1,2,2014,Food & Beverage,N,Kuala Lumpur,Chinese,M,WIDOWED,MALAYSIAN,Technician,SPM,807.36,A,,N,pass,pass,84456.07,Y
2026-09-02,45899588,00000000026,800000000026,20260830,Approve,20260921,532,3,D,168,32,2,9611,47,COUNTER,,7434.64,1514.44,8949.08,248.59,20,6.79,36, ,A,21506.72,21506.72,55,2,2,316027.2,84,259501.49,50.29,59.76,2556.57,56.71,60.04,2576.03,762.11,4,,Manufacturing,N,Kedah,Malay,F,DIVORCED,MALAYSIAN,Contractor,SPM,2158.72,,1,N,pass,pass,11548.5,Y
2026-09-02,10598056,00000000027,800000000027,20260901,Approve,20260923,687,4,D,102,26,,5185,83,WEBSITE,,54665.49,27699.0,82364.49,762.63,0,5.63,108, ,A,17772.81,17772.81,24,3,1,260757.12,108,93860.66,23.6,31.66,2724.65,18.51,29.0,2740.38,973.23,0,,Professional Services,N,Sarawak,Malay,F,WIDOWED,MALAYSIAN,Factory Worker,STPM,2426.09,C,1,Y,pass,pass,57070.61,Y
2026-09-02,13657826,00000000028,800000000028,20260902,Approve,20260922,654,4,F,188,23,2,2062,40,MOBILE_APP,,77987.55,40218.18,118205.73,1094.5,5,5.73,108, ,A,22998.04,22998.04,21,3,0,334606.32,84,195979.79,31.33,34.17,6289.98,37.59,40.5,2090.22,591.87,1,2016,Plantation,N,Kuala Lumpur,Malay,F,SINGLE,MALAYSIAN,Doctor,SPM,1456.88,C,,N,fail,fail,82676.01,N
2026-09-02,70539079,00000000029,800000000029,20260830,Approve,20260917,810,3,G,115,14,,8396,25,WEBSITE,,42307.76,5863.86,48171.62,1338.1,0,4.62,36,N,A,7750.21,7750.21,55,0,24,124616.76,84,46435.06,22.92,26.85,6778.12,17.06,26.66,2657.86,263.01,0,,Transportation,Y,Kuala Lumpur,Indian,F,SINGLE,MALAYSIAN,Sales Executive,Diploma,678.21,,1,Y,fail,pass,44537.48,N
2026-09-02,85963912,00000000030,800000000030,20260828,Approve,20260913,407,2,C,103,19,,1040,40,COUNTER,,27820.47,10154.47,37974.94,632.92,5,7.3,60, ,A,5597.12,5597.12,30,0,3,84358.2,36,71963.01,32.24,41.82,3327.6,29.9,40.63,2218.87,859.94,0,2014,Oil & Gas,N,Kedah,Malay,M,SINGLE,MALAYSIAN,Nurse,Diploma,4473.75,B,,N,pass,fail,34588.73,N
2026-09-02,50967625,00000000031,800000000031,20260827,Approve,20260902,602,3,C,193,34,2,4236,64,TELEMARKETING,,98773.17,18460.71,117233.88,3256.5,5,6.23,36,N,A,16796.21,16796.21,43,21,12,271701.36,108,195731.34,24.9,33.29,1434.25,21.25,29.56,1404.61,449.28,0,,Agriculture,Y,Sarawak,Chinese,M,SINGLE,MALAYSIAN,Driver,Bachelor Degree,4748.74,A,,Y,pass,pass,104043.55,N
2026-09-02,85259456,00000000032,800000000032,20260831,Approve,20260902,572,1,B,169,27,3,1575,60,TELEMARKETING,,114800.89,22420.61,137221.5,3811.71,20,6.51,36,-,A,22538.51,22538.51,25,5,7,314183.76,36,212812.15,26.95,29.43,7591.36,27.39,32.15,1993.86,1184.95,4,2025,Food & Beverage,N,Johor,Malay,F,MARRIED,MALAYSIAN,Sales Executive,SPM,1128.82,C,,Y,fail,fail,139479.54,N
2026-09-02,58016754,00000000033,800000000033,20260901,Approve,20260901,659,1,E,104,19,3,8999,66,PARTNER,,95274.5,17235.16,112509.66,3125.27,20,6.03,36,N,A,6207.59,6207.59,56,15,24,97644.24,36,34051.37,27.1,35.31,6211.38,31.79,36.54,952.65,499.67,1,,Oil & Gas,N,Perak,Malay,M,SINGLE,MALAYSIAN,Self-Employed,Diploma,3790.75,C,1,N,pass,fail,147555.35,Y
2026-09-02,93724040,00000000034,800000000034,20260831,Approve,20260919,996,3,D,112,23,2,5887,12,COUNTER,,131292.08,41724.62,173016.7,2059.72,5,4.54,84,Y,A,24228.21,24228.21,43,25,5,381465.72,108,61885.02,20.81,27.49,5384.36,26.74,28.41,448.8,339.13,1,2011,Real Estate,Y,Kedah,Malay,F,MARRIED,MALAYSIAN,Administrator,SPM,1391.2,,1,N,fail,fail,141309.7,Y
2026-09-02,65194100,00000000035,800000000035,20260830,Approve,20260905,565,4,E,178,24,3,6431,90,TELEMARKETING,,12332.74,6570.88,18903.62,175.03,0,5.92,108,Y,A,11870.28,11870.28,24,1,1,165393.48,12,66105.18,36.46,38.33,7994.39,41.36,44.75,2008.27,681.7,0,2024,Healthcare,N,Kuala Lumpur,Malay,M,MARRIED,MALAYSIAN,Civil Servant,Diploma,1835.14,,,N,fail,pass,12940.6,Y
2026-09-02,68444116,00000000036,800000000036,20260830,Approve,20260916,776,2,D,117,30,3,2959,11,COUNTER,,60674.24,20811.26,81485.5,970.07,30,4.9,84,N,A,15331.26,15331.26,22,1,4,244947.12,60,70328.38,23.05,27.76,2413.41,29.8,32.17,2974.83,1245.04,0,,Government,N,Kelantan,Malay,M,MARRIED,MALAYSIAN,Nurse,SPM,4626.21,A,1,N,fail,fail,79379.27,Y
2026-09-02,87070268,00000000037,800000000037,20260826,Approve,20260904,656,1,E,125,26,,9757,22,WEBSITE,,72553.41,11579.52,84132.93,2337.03,0,5.32,36, ,A,18796.56,18796.56,40,2,15,300469.08,60,172087.1,15.32,18.86,5477.56,19.24,24.38,1106.1,1336.56,4,,Plantation,N,Pulau Pinang,Malay,M,MARRIED,MALAYSIAN,Chef,Bachelor Degree,803.53,,1,N,pass,pass,104180.53,N
2026-09-02,33868034,00000000038,800000000038,20260826,Approve,20260911,934,4,G,176,20,,2894,34,MOBILE_APP,,48281.84,6373.2,54655.04,1518.2,30,4.4,36,Y,A,21737.83,21737.83,45,26,14,315266.52,84,39947.8,20.11,25.23,6245.16,15.97,23.26,2492.07,142.79,1,,Professional Services,Y,Johor,Chinese,M,SINGLE,MALAYSIAN,Teacher,Master Degree,1421.04,,,N,fail,fail,74208.42,N
2026-09-02,81395438,00000000039,800000000039,20260826,Approve,20260903,576,4,F,199,35,,9684,30,WEBSITE,,57552.76,29938.95,87491.71,810.11,30,5.78,108,N,A,12629.3,12629.3,43,25,21,202204.32,12,61375.63,27.93,36.44,5799.91,30.94,40.91,342.35,1145.32,3,,Real Estate,N,Sabah,Chinese,M,MARRIED,MALAYSIAN,Civil Servant,Diploma,1956.32,B,1,N,pass,pass,76845.1,Y
2026-09-02,76486379,00000000040,800000000040,20260826,Approve,20260828,775,1,F,114,13,,2667,94,MOBILE_APP,,82265.08,31787.23,114052.31,1357.77,5,5.52,84, ,A,21943.56,21943.56,48,12,16,319736.28,108,67523.1,20.65,24.94,1528.69,21.62,32.74,2041.7,18.37,1,,Healthcare,Y,Negeri Sembilan,Indian,M,MARRIED,MALAYSIAN,Retail Assistant,Bachelor Degree,195.09,B,1,N,pass,fail,119886.4,N
2026-09-02,57475913,00000000041,800000000041,20260830,Approve,20260831,381,3,B,171,33,,7366,73,COUNTER,,28176.14,13135.72,41311.86,491.81,20,6.66,84, ,A,4881.62,4881.62,52,13,14,78091.8,84,34819.04,45.93,53.85,1806.99,47.86,59.07,1063.29,1269.51,3,2020,Wholesale,N,Perak,Malay,F,MARRIED,MALAYSIAN,Factory Worker,Bachelor Degree,519.91,,1,Y,fail,pass,34439.07,Y
2026-09-02,20716593,00000000042,800000000042,20260829,Approve,20260903,819,2,F,143,34,3,7316,88,COUNTER,,136791.93,63772.4,200564.33,1857.08,0,5.18,108,N,A,19150.6,19150.6,54,28,16,301667.76,84,73038.9,18.68,27.89,5998.59,18.18,22.26,1547.62,1793.17,4,2019,Hospitality,N,Kedah,Indian,M,MARRIED,MALAYSIAN,Driver,Diploma,1881.18,C,,Y,fail,pass,138355.33,N
2026-09-02,78074977,00000000043,800000000043,20260901,Approve,20260907,686,2,B,111,12,1,1306,81,TELEMARKETING,,99441.83,19092.83,118534.66,3292.63,10,6.4,36,-,A,2844.13,2844.13,39,17,8,41841.84,60,33215.74,20.95,29.53,1114.67,24.82,33.38,43.34,623.79,1,2019,Transportation,Y,Selangor,Chinese,M,WIDOWED,MALAYSIAN,Nurse,Bachelor Degree,436.51,C,,Y,fail,fail,132853.93,Y
2026-09-02,46728250,00000000044,800000000044,20260902,Approve,20260923,649,4,D,103,33,1,4490,97,MOBILE_APP,,56199.59,20653.35,76852.94,914.92,20,5.25,84, ,A,13015.22,13015.22,51,31,31,206224.08,108,73761.27,32.37,40.66,6415.43,37.31,38.75,1260.87,1663.64,0,,Oil & Gas,N,Melaka,Chinese,F,MARRIED,MALAYSIAN,Administrator,SPM,3486.68,A,1,Y,fail,fail,77139.84,Y
2026-09-02,99806586,00000000045,800000000045,20260827,Approve,20260910,644,2,B,164,27,2,2830,13,PARTNER,,33220.02,5899.88,39119.9,1086.66,5,5.92,36,Y,A,11784.66,11784.66,30,8,5,173421.12,84,80415.88,35.2,43.81,7566.99,38.02,39.9,1156.87,650.93,0,2018,Food & Beverage,Y,Selangor,Malay,F,SINGLE,MALAYSIAN,Manager,Diploma,1789.47,A,,N,pass,fail,38153.67,Y
2026-09-02,33988814,00000000046,800000000046,20260826,Approve,20260916,978,4,C,135,28,1,1219,80,MOBILE_APP,,50335.7,11501.71,61837.41,1030.62,0,4.57,60, ,A,22293.84,22293.84,60,14,34,320009.28,12,53342.6,18.74,28.11,3444.14,19.39,26.15,1882.87,1267.08,1,,Hospitality,Y,Johor,Others,M,SINGLE,MALAYSIAN,Teacher,SPM,3943.29,C,1,Y,pass,fail,77811.57,Y
2026-09-02,28102047,00000000047,800000000047,20260901,Approve,20260925,542,1,A,146,29,1,6457,11,COUNTER,,63920.01,18472.88,82392.89,1373.21,10,5.78,60,-,A,13537.2,13537.2,65,15,9,206128.2,108,67284.79,32.91,34.83,7085.03,42.6,52.2,2409.43,386.02,1,,Wholesale,Y,Kuala Lumpur,Malay,F,MARRIED,MALAYSIAN,Sales Executive,SPM,2779.86,A,,Y,fail,fail,85872.58,N
2026-09-02,18110163,00000000048,800000000048,20260830,Approve,20260903,448,4,G,184,31,2,8381,49,MOBILE_APP,,46746.44,15613.31,62359.75,1039.33,0,6.68,60,N,A,13012.84,13012.84,55,21,6,192704.88,108,176853.02,27.96,37.15,3220.19,39.32,42.69,2111.36,1552.0,3,,Food & Beverage,Y,Perlis,Others,F,MARRIED,MALAYSIAN,Lecturer,SPM,2983.79,B,1,Y,pass,pass,59112.4,Y
2026-09-02,47852279,00000000049,800000000049,20260828,Approve,20260831,800,1,G,138,31,,9924,17,COUNTER,,109161.58,30292.34,139453.92,2324.23,5,5.55,60,Y,A,19796.34,19796.34,41,7,11,306589.92,36,87780.67,7.93,11.56,3354.35,5.88,10.95,2040.51,1649.87,3,,Healthcare,Y,Kuala Lumpur,Chinese,M,MARRIED,MALAYSIAN,Army Personnel,SPM,744.17,,1,N,pass,pass,132772.32,N
2026-09-02,79793180,00000000050,800000000050,20260826,Approve,20260911,608,2,G,154,30,3,4802,97,COUNTER,,75925.87,42366.64,118292.51,1095.3,10,6.2,108,Y,A,9023.73,9023.73,22,0,2,133020.84,60,53575.38,24.84,30.32,6297.84,23.4,30.62,2987.29,1517.01,0,,Retail Trade,Y,Negeri Sembilan,Malay,F,SINGLE,MALAYSIAN,Army Personnel,Bachelor Degree,4367.49,A,,Y,pass,fail,114292.06,N
2026-09-02,58142064,00000000051,800000000051,20260827,Approve,20260909,233,4,E,120,17,,3363,93,WEBSITE,,79981.48,42438.17,122419.65,1457.38,0,7.58,84, ,A,8460.95,8460.95,56,6,1,123112.92,84,138203.29,49.92,54.28,3815.66,62.73,66.37,2721.6,532.75,3,,Education,N,Selangor,Indian,F,WIDOWED,MALAYSIAN,Retail Assistant,Diploma,4281.08,A,,N,pass,pass,82583.27,N
2026-09-02,92911100,00000000052,800000000052,20260901,Approve,20260908,808,1,E,105,25,,5479,35,PARTNER,,62635.46,20957.82,83593.28,995.16,5,4.78,84,N,A,23431.89,23431.89,57,20,4,355554.36,84,112299.23,16.27,17.39,5155.26,21.32,23.0,2028.88,291.05,0,,Hospitality,Y,Perak,Malay,F,SINGLE,MALAYSIAN,Retail Assistant,Master Degree,3937.31,C,1,Y,fail,fail,97184.68,Y
2026-09-02,76544513,00000000053,800000000053,20260902,Approve,20260915,951,4,E,146,27,,8659,54,COUNTER,,126217.13,19841.33,146058.46,4057.18,5,5.24,36,Y,A,19082.98,19082.98,48,9,25,295826.52,36,111133.7,13.96,23.93,3483.56,11.63,19.01,941.15,559.61,2,,Construction,Y,Sabah,Malay,F,MARRIED,MALAYSIAN,Teacher,Diploma,2501.39,B,,Y,fail,pass,148992.6,N
2026-09-02,67208939,00000000054,800000000054,20260827,Approve,20260915,444,1,D,168,23,,3235,90,COUNTER,,48509.82,25627.74,74137.56,686.46,10,5.87,108,-,A,4901.46,4901.46,46,0,5,76511.28,60,45940.79,13.79,18.94,7279.39,20.58,22.27,25.77,1842.36,3,2023,Professional Services,N,Pulau Pinang,Malay,F,WIDOWED,MALAYSIAN,Accountant,SPM,4248.56,C,1,N,fail,fail,69135.99,Y
2026-09-02,58071563,00000000055,800000000055,20260827,Approve,20260828,238,3,E,132,28,1,7199,49,COUNTER,,64803.15,35972.23,100775.38,1199.71,10,7.93,84,-,A,13565.73,13565.73,64,14,9,191703.72,12,216433.81,56.62,62.82,671.33,60.49,66.1,2112.24,146.62,2,,Construction,N,Selangor,Malay,M,MARRIED,MALAYSIAN,Driver,SPM,815.61,A,1,Y,fail,fail,73216.71,N
2026-09-02,30561818,00000000056,800000000056,20260831,Approve,20260926,657,4,A,175,27,,6195,76,PARTNER,,100738.75,26141.71,126880.46,2114.67,30,5.19,60,Y,A,14652.15,14652.15,23,2,4,228593.16,12,113766.31,20.08,28.73,2997.54,28.63,30.55,1174.56,6.33,0,,Retail Trade,Y,Selangor,Others,F,SINGLE,MALAYSIAN,Technician,SPM,3344.6,C,1,Y,fail,pass,102324.87,Y
2026-09-02,82468344,00000000057,800000000057,20260830,Approve,20260926,735,4,B,144,19,2,4738,39,TELEMARKETING,,123714.73,48755.98,172470.71,2053.22,0,5.63,84, ,A,12379.94,12379.94,52,15,4,183513.96,36,72424.51,17.13,24.53,6460.44,15.86,21.38,47.71,808.42,0,,Food & Beverage,Y,Selangor,Chinese,F,SINGLE,MALAYSIAN,Retail Assistant,SPM,1668.71,B,1,Y,fail,fail,124007.12,Y
