TX_DT,CIF_No,TransactionCountry,TransactionCountryHigherLevel,PriviledgeMerchantsGrp,LDESC,Sales_Type,Amount,TransCount
20260928,19101846,RINGGIT MALAYSIA,LOCAL,ON US,LOTUS'S STORES-CHERAS,CP,24057.79,1
20261001,19101846,RINGGIT MALAYSIA,LOCAL,NOT ON US,GUARDIAN HEALTH-KLCC,CP,18129.28,1
20261009,19101846,RINGGIT MALAYSIA,LOCAL,ON US,AEON BIG (M) SDN BHD-KEPONG,CP,4988.63,1
20261028,19101846,RINGGIT MALAYSIA,OVERSEA,NOT ON US,SHELL MALAYSIA,CP,22100.37,1
20260913,45803474,RINGGIT MALAYSIA,LOCAL,ON US,MYDIN MOHAMED HOLDINGS,CP,114337.95,1
20261024,25615418,RINGGIT MALAYSIA,LOCAL,ON US,WATSONS PERSONAL CARE,CA,7404.24,1
20261002,25615418,RINGGIT MALAYSIA,OVERSEA,NOT ON US,ECONSAVE-JOHOR,CP,8248.09,1
20261019,25615418,RINGGIT MALAYSIA,LOCAL,ON US,LOTUS'S STORES-CHERAS,CP,15131.96,1
20261002,12002856,RINGGIT MALAYSIA,LOCAL,ON US,MYDIN MOHAMED HOLDINGS,CA,3552.66,1
20261015,12002856,RINGGIT MALAYSIA,LOCAL,NOT ON US,LOTUS'S STORES-CHERAS,CP,7101.68,1
20260911,12002856,RINGGIT MALAYSIA,LOCAL,NOT ON US,LAZADA MALAYSIA,CA,3046.77,1
20260924,12002856,RINGGIT MALAYSIA,LOCAL,NOT ON US,SENHENG ELECTRIC,CP,2002.89,1
20261025,12002856,RINGGIT MALAYSIA,LOCAL,NOT ON US,MR DIY-SUNWAY PYRAMID,CP,7147.84,1
20261021,61799392,RINGGIT MALAYSIA,LOCAL,NOT ON US,COURTS MAMMOTH,CP,46795.85,1
20260930,61799392,RINGGIT MALAYSIA,LOCAL,NOT ON US,HARVEY NORMAN-IOI CITY,CA,20888.16,1
20261117,61799392,RINGGIT MALAYSIA,LOCAL,ON US,GUARDIAN HEALTH-KLCC,CP,30000.17,1
20261121,47184732,RINGGIT MALAYSIA,LOCAL,ON US,MYDIN MOHAMED HOLDINGS,CP,18844.09,1
20261112,47184732,RINGGIT MALAYSIA,OVERSEA,NOT ON US,COURTS MAMMOTH,CP,55324.9,1
20261102,39432371,RINGGIT MALAYSIA,LOCAL,ON US,GIANT HYPERMARKET-SHAH ALAM,CP,62603.8,1
20261014,80244042,RINGGIT MALAYSIA,LOCAL,ON US,WATSONS PERSONAL CARE,CP,7893.99,1
20261106,80244042,RINGGIT MALAYSIA,OVERSEA,NOT ON US,KFC HOLDINGS,CP,17168.3,1
20261106,80244042,RINGGIT MALAYSIA,LOCAL,ON US,PARKSON GRAND-PAVILION,CP,7454.66,1
20261109,80244042,RINGGIT MALAYSIA,LOCAL,ON US,TESCO STORES (M),CA,3897.6,1
20261106,80244042,RINGGIT MALAYSIA,LOCAL,NOT ON US,COURTS MAMMOTH,CA,14891.05,1
20261115,68504671,RINGGIT MALAYSIA,LOCAL,NOT ON US,ZALORA MALAYSIA,CP,619.56,1
20261108,68504671,RINGGIT MALAYSIA,OVERSEA,ON US,LAZADA MALAYSIA,CP,566.8,1
20261023,68504671,RINGGIT MALAYSIA,LOCAL,NOT ON US,AEON CO (M) BHD-MID VALLEY,CA,1034.79,1
20261023,68504671,RINGGIT MALAYSIA,LOCAL,ON US,GUARDIAN HEALTH-KLCC,CA,428.53,1
20260927,68504671,RINGGIT MALAYSIA,OVERSEA,NOT ON US,ECONSAVE-JOHOR,CP,654.84,1
20261027,94997682,RINGGIT MALAYSIA,LOCAL,NOT ON US,GUARDIAN HEALTH-KLCC,CP,11569.39,1
20261015,94997682,RINGGIT MALAYSIA,LOCAL,NOT ON US,COURTS MAMMOTH,CP,30203.95,1
20261130,58696806,RINGGIT MALAYSIA,LOCAL,ON US,TESCO STORES (M),CP,4711.1,1
20261104,58696806,RINGGIT MALAYSIA,LOCAL,ON US,TESCO STORES (M),CP,8097.22,1
20261003,58696806,RINGGIT MALAYSIA,OVERSEA,NOT ON US,GIANT HYPERMARKET-SHAH ALAM,CA,5071.4,1
20261114,58696806,RINGGIT MALAYSIA,LOCAL,ON US,SHELL MALAYSIA,CA,5659.32,1
20261031,35945352,RINGGIT MALAYSIA,LOCAL,ON US,HARVEY NORMAN-IOI CITY,CA,24120.72,1
20261031,35945352,RINGGIT MALAYSIA,LOCAL,NOT ON US,MCDONALD'S MALAYSIA,CP,22279.19,1
20261019,35945352,RINGGIT MALAYSIA,LOCAL,NOT ON US,PARKSON GRAND-PAVILION,CA,29409.96,1
20261025,45899588,RINGGIT MALAYSIA,OVERSEA,ON US,WATSONS PERSONAL CARE,CP,7434.64,1
20261014,10598056,RINGGIT MALAYSIA,OVERSEA,ON US,PARKSON GRAND-PAVILION,CP,9695.36,1
20260927,10598056,RINGGIT MALAYSIA,OVERSEA,NOT ON US,LAZADA MALAYSIA,CP,19995.27,1
20261010,10598056,RINGGIT MALAYSIA,LOCAL,NOT ON US,KFC HOLDINGS,CA,24974.86,1
20261004,13657826,RINGGIT MALAYSIA,LOCAL,ON US,LOTUS'S STORES-CHERAS,CP,14324.95,1
20260923,13657826,RINGGIT MALAYSIA,OVERSEA,NOT ON US,ZALORA MALAYSIA,CP,63662.6,1
20261115,70539079,RINGGIT MALAYSIA,OVERSEA,ON US,WATSONS PERSONAL CARE,CP,11154.5,1
20261006,70539079,RINGGIT MALAYSIA,OVERSEA,ON US,MCDONALD'S MALAYSIA,CP,5776.55,1
20261009,70539079,RINGGIT MALAYSIA,OVERSEA,NOT ON US,PETRONAS DAGANGAN,CA,4040.55,1
20261024,70539079,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHOPEE PAY,CP,21336.16,1
20261010,85963912,RINGGIT MALAYSIA,OVERSEA,NOT ON US,SHOPEE PAY,CA,10397.68,1
20260917,85963912,RINGGIT MALAYSIA,OVERSEA,NOT ON US,LOTUS'S STORES-CHERAS,CP,3096.66,1
20261006,85963912,RINGGIT MALAYSIA,LOCAL,NOT ON US,MR DIY-SUNWAY PYRAMID,CA,5877.58,1
20260930,85963912,RINGGIT MALAYSIA,LOCAL,NOT ON US,GRABPAY TOP UP,CP,8448.55,1
20261018,50967625,RINGGIT MALAYSIA,LOCAL,ON US,LOTUS'S STORES-CHERAS,CP,45189.09,1
20261017,50967625,RINGGIT MALAYSIA,LOCAL,NOT ON US,MCDONALD'S MALAYSIA,CP,25466.1,1
20261001,50967625,RINGGIT MALAYSIA,LOCAL,NOT ON US,WATSONS PERSONAL CARE,CA,11966.14,1
20260926,50967625,RINGGIT MALAYSIA,OVERSEA,NOT ON US,GUARDIAN HEALTH-KLCC,CA,16151.84,1
20260927,85259456,RINGGIT MALAYSIA,LOCAL,ON US,MCDONALD'S MALAYSIA,CP,37103.38,1
20261001,85259456,RINGGIT MALAYSIA,LOCAL,ON US,MYDIN MOHAMED HOLDINGS,CP,77697.51,1
20260925,58016754,RINGGIT MALAYSIA,LOCAL,ON US,LOTUS'S STORES-CHERAS,CP,18815.19,1
20260918,58016754,RINGGIT MALAYSIA,LOCAL,ON US,PETRONAS DAGANGAN,CA,29278.03,1
20260908,58016754,RINGGIT MALAYSIA,OVERSEA,ON US,MYDIN MOHAMED HOLDINGS,CA,23367.92,1
20261028,58016754,RINGGIT MALAYSIA,LOCAL,NOT ON US,MCDONALD'S MALAYSIA,CA,6294.09,1
20261007,58016754,RINGGIT MALAYSIA,LOCAL,ON US,TESCO STORES (M),CA,17519.27,1
20261114,93724040,RINGGIT MALAYSIA,LOCAL,NOT ON US,PETRONAS DAGANGAN,CP,40883.73,1
20261022,93724040,RINGGIT MALAYSIA,LOCAL,NOT ON US,ECONSAVE-JOHOR,CA,37240.26,1
20261009,93724040,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHOPEE PAY,CA,9143.83,1
20261110,93724040,RINGGIT MALAYSIA,OVERSEA,ON US,MR DIY-SUNWAY PYRAMID,CP,44024.26,1
20260919,65194100,RINGGIT MALAYSIA,OVERSEA,ON US,WATSONS PERSONAL CARE,CA,5863.21,1
20260923,65194100,RINGGIT MALAYSIA,OVERSEA,ON US,SHOPEE PAY,CP,2757.64,1
20261009,65194100,RINGGIT MALAYSIA,LOCAL,NOT ON US,GUARDIAN HEALTH-KLCC,CP,781.2,1
20261016,65194100,RINGGIT MALAYSIA,LOCAL,NOT ON US,TESCO STORES (M),CP,2930.69,1
20260923,68444116,RINGGIT MALAYSIA,OVERSEA,ON US,GIANT HYPERMARKET-SHAH ALAM,CP,16230.24,1
20261009,68444116,RINGGIT MALAYSIA,LOCAL,NOT ON US,AEON BIG (M) SDN BHD-KEPONG,CA,14295.79,1
20261015,68444116,RINGGIT MALAYSIA,LOCAL,ON US,GRABPAY TOP UP,CP,30148.21,1
20260923,87070268,RINGGIT MALAYSIA,OVERSEA,ON US,KFC HOLDINGS,CA,34978.15,1
20261020,87070268,RINGGIT MALAYSIA,LOCAL,ON US,ECONSAVE-JOHOR,CP,16082.15,1
20261031,87070268,RINGGIT MALAYSIA,LOCAL,ON US,COURTS MAMMOTH,CP,21493.11,1
20260916,33868034,RINGGIT MALAYSIA,LOCAL,NOT ON US,WATSONS PERSONAL CARE,CP,48281.84,1
20261009,81395438,RINGGIT MALAYSIA,LOCAL,NOT ON US,KFC HOLDINGS,CP,10024.98,1
20260915,81395438,RINGGIT MALAYSIA,LOCAL,NOT ON US,PARKSON GRAND-PAVILION,CP,47527.78,1
20261012,76486379,RINGGIT MALAYSIA,LOCAL,ON US,KFC HOLDINGS,CP,32965.0,1
20261003,76486379,RINGGIT MALAYSIA,LOCAL,NOT ON US,WATSONS PERSONAL CARE,CA,23093.38,1
20260914,76486379,RINGGIT MALAYSIA,LOCAL,NOT ON US,PETRONAS DAGANGAN,CA,5679.2,1
20260915,76486379,RINGGIT MALAYSIA,LOCAL,ON US,MR DIY-SUNWAY PYRAMID,CP,20527.5,1
20261007,57475913,RINGGIT MALAYSIA,LOCAL,NOT ON US,ECONSAVE-JOHOR,CA,6296.57,1
20260909,57475913,RINGGIT MALAYSIA,LOCAL,NOT ON US,MYDIN MOHAMED HOLDINGS,CP,9730.4,1
20260901,57475913,RINGGIT MALAYSIA,LOCAL,ON US,TESCO STORES (M),CP,5578.06,1
20261027,57475913,RINGGIT MALAYSIA,LOCAL,ON US,MCDONALD'S MALAYSIA,CP,6571.11,1
20260921,20716593,RINGGIT MALAYSIA,LOCAL,ON US,HARVEY NORMAN-IOI CITY,CP,136791.93,1
20261105,78074977,RINGGIT MALAYSIA,LOCAL,NOT ON US,AEON BIG (M) SDN BHD-KEPONG,CP,35500.9,1
20261008,78074977,RINGGIT MALAYSIA,LOCAL,NOT ON US,LOTUS'S STORES-CHERAS,CA,12589.56,1
20260907,78074977,RINGGIT MALAYSIA,LOCAL,NOT ON US,GRABPAY TOP UP,CP,51351.37,1
20260923,46728250,RINGGIT MALAYSIA,LOCAL,NOT ON US,GRABPAY TOP UP,CP,26706.53,1
20261016,46728250,RINGGIT MALAYSIA,LOCAL,ON US,MYDIN MOHAMED HOLDINGS,CP,6176.65,1
20261013,46728250,RINGGIT MALAYSIA,LOCAL,NOT ON US,GRABPAY TOP UP,CP,4442.64,1
20261102,46728250,RINGGIT MALAYSIA,OVERSEA,ON US,HARVEY NORMAN-IOI CITY,CA,18873.77,1
20260913,99806586,RINGGIT MALAYSIA,LOCAL,ON US,KFC HOLDINGS,CA,16082.89,1
20261004,99806586,RINGGIT MALAYSIA,LOCAL,NOT ON US,LAZADA MALAYSIA,CP,3697.54,1
20260930,99806586,RINGGIT MALAYSIA,OVERSEA,ON US,SHOPEE PAY,CP,3306.52,1
20261011,99806586,RINGGIT MALAYSIA,LOCAL,NOT ON US,TESCO STORES (M),CA,10133.07,1
20261102,33988814,RINGGIT MALAYSIA,OVERSEA,NOT ON US,TESCO STORES (M),CP,9007.76,1
20261013,33988814,RINGGIT MALAYSIA,LOCAL,NOT ON US,PARKSON GRAND-PAVILION,CP,6909.23,1
20260920,33988814,RINGGIT MALAYSIA,LOCAL,ON US,WATSONS PERSONAL CARE,CA,34418.71,1
20261023,28102047,RINGGIT MALAYSIA,OVERSEA,NOT ON US,SHELL MALAYSIA,CP,28184.23,1
20261102,28102047,RINGGIT MALAYSIA,LOCAL,NOT ON US,LOTUS'S STORES-CHERAS,CP,35735.78,1
20260924,18110163,RINGGIT MALAYSIA,LOCAL,NOT ON US,HARVEY NORMAN-IOI CITY,CP,22087.84,1
20260921,18110163,RINGGIT MALAYSIA,OVERSEA,NOT ON US,GUARDIAN HEALTH-KLCC,CP,6304.9,1
20260907,18110163,RINGGIT MALAYSIA,OVERSEA,ON US,KFC HOLDINGS,CP,8266.41,1
20261021,18110163,RINGGIT MALAYSIA,LOCAL,ON US,SENHENG ELECTRIC,CP,10087.29,1
20260909,47852279,RINGGIT MALAYSIA,OVERSEA,NOT ON US,TESCO STORES (M),CP,45284.86,1
20260923,47852279,RINGGIT MALAYSIA,LOCAL,NOT ON US,MYDIN MOHAMED HOLDINGS,CA,24101.61,1
20261016,47852279,RINGGIT MALAYSIA,LOCAL,ON US,AEON CO (M) BHD-MID VALLEY,CP,8744.75,1
20261027,47852279,RINGGIT MALAYSIA,OVERSEA,ON US,GRABPAY TOP UP,CA,31030.36,1
20261108,79793180,RINGGIT MALAYSIA,LOCAL,NOT ON US,TESCO STORES (M),CA,27196.77,1
20261018,79793180,RINGGIT MALAYSIA,OVERSEA,NOT ON US,LAZADA MALAYSIA,CP,48729.1,1
20260925,58142064,RINGGIT MALAYSIA,LOCAL,NOT ON US,AEON CO (M) BHD-MID VALLEY,CP,34550.13,1
20261022,58142064,RINGGIT MALAYSIA,OVERSEA,NOT ON US,HARVEY NORMAN-IOI CITY,CP,11935.69,1
20260923,58142064,RINGGIT MALAYSIA,LOCAL,NOT ON US,LOTUS'S STORES-CHERAS,CP,15897.44,1
20260923,58142064,RINGGIT MALAYSIA,LOCAL,NOT ON US,MCDONALD'S MALAYSIA,CA,7555.43,1
20260917,58142064,RINGGIT MALAYSIA,LOCAL,ON US,SHOPEE PAY,CA,10042.79,1
20260917,92911100,RINGGIT MALAYSIA,LOCAL,ON US,HARVEY NORMAN-IOI CITY,CA,12973.67,1
20261003,92911100,RINGGIT MALAYSIA,LOCAL,NOT ON US,PARKSON GRAND-PAVILION,CA,12197.58,1
20261106,92911100,RINGGIT MALAYSIA,OVERSEA,NOT ON US,MYDIN MOHAMED HOLDINGS,CP,37464.21,1
20261006,76544513,RINGGIT MALAYSIA,LOCAL,ON US,GIANT HYPERMARKET-SHAH ALAM,CA,41659.22,1
20261111,76544513,RINGGIT MALAYSIA,LOCAL,NOT ON US,HARVEY NORMAN-IOI CITY,CP,84557.91,1
20261014,67208939,RINGGIT MALAYSIA,LOCAL,NOT ON US,LOTUS'S STORES-CHERAS,CP,18729.53,1
20261103,67208939,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHELL MALAYSIA,CP,8529.28,1
20260920,67208939,RINGGIT MALAYSIA,OVERSEA,NOT ON US,MR DIY-SUNWAY PYRAMID,CA,21251.01,1
20260904,58071563,RINGGIT MALAYSIA,LOCAL,ON US,AEON CO (M) BHD-MID VALLEY,CP,26798.79,1
20261003,58071563,RINGGIT MALAYSIA,OVERSEA,NOT ON US,SENHENG ELECTRIC,CP,38004.36,1
20261003,30561818,RINGGIT MALAYSIA,OVERSEA,ON US,GIANT HYPERMARKET-SHAH ALAM,CP,21092.9,1
20261102,30561818,RINGGIT MALAYSIA,LOCAL,NOT ON US,TESCO STORES (M),CA,20312.47,1
20261018,30561818,RINGGIT MALAYSIA,LOCAL,ON US,WATSONS PERSONAL CARE,CP,20127.66,1
20261112,30561818,RINGGIT MALAYSIA,LOCAL,ON US,MR DIY-SUNWAY PYRAMID,CA,8330.01,1
20261030,30561818,RINGGIT MALAYSIA,OVERSEA,ON US,TESCO STORES (M),CP,30875.71,1
20261013,82468344,RINGGIT MALAYSIA,LOCAL,NOT ON US,TESCO STORES (M),CP,47187.46,1
20261102,82468344,RINGGIT MALAYSIA,LOCAL,ON US,AEON BIG (M) SDN BHD-KEPONG,CP,76527.27,1
20261103,19440698,RINGGIT MALAYSIA,LOCAL,NOT ON US,LAZADA MALAYSIA,CP,1332.92,1
20260911,19440698,RINGGIT MALAYSIA,LOCAL,NOT ON US,PARKSON GRAND-PAVILION,CP,2361.63,1
20261013,19440698,RINGGIT MALAYSIA,LOCAL,NOT ON US,WATSONS PERSONAL CARE,CA,760.51,1
20260930,19440698,RINGGIT MALAYSIA,LOCAL,NOT ON US,AEON CO (M) BHD-MID VALLEY,CP,1768.85,1
20260908,52439116,RINGGIT MALAYSIA,LOCAL,ON US,AEON BIG (M) SDN BHD-KEPONG,CP,13486.6,1
20260906,52439116,RINGGIT MALAYSIA,LOCAL,NOT ON US,MR DIY-SUNWAY PYRAMID,CA,6886.08,1
20261027,52439116,RINGGIT MALAYSIA,LOCAL,NOT ON US,COURTS MAMMOTH,CP,11877.6,1
20260903,52439116,RINGGIT MALAYSIA,LOCAL,ON US,HARVEY NORMAN-IOI CITY,CP,18305.09,1
20260912,55541542,RINGGIT MALAYSIA,LOCAL,ON US,LAZADA MALAYSIA,CP,28440.17,1
20261019,55541542,RINGGIT MALAYSIA,LOCAL,NOT ON US,PETRONAS DAGANGAN,CP,11701.73,1
20261107,55541542,RINGGIT MALAYSIA,OVERSEA,NOT ON US,PETRONAS DAGANGAN,CP,6732.51,1
20261014,55541542,RINGGIT MALAYSIA,LOCAL,ON US,LOTUS'S STORES-CHERAS,CP,17921.03,1
20261107,60628582,RINGGIT MALAYSIA,LOCAL,NOT ON US,MR DIY-SUNWAY PYRAMID,CA,50789.88,1
20261025,38033411,RINGGIT MALAYSIA,LOCAL,NOT ON US,MCDONALD'S MALAYSIA,CA,12367.58,1
20261029,38033411,RINGGIT MALAYSIA,OVERSEA,NOT ON US,MCDONALD'S MALAYSIA,CA,9211.35,1
20261010,38033411,RINGGIT MALAYSIA,LOCAL,ON US,GRABPAY TOP UP,CP,8059.3,1
20260916,38033411,RINGGIT MALAYSIA,LOCAL,ON US,GRABPAY TOP UP,CA,3941.34,1
20261021,38033411,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHOPEE PAY,CP,7246.51,1
20261103,65958065,RINGGIT MALAYSIA,LOCAL,NOT ON US,SENHENG ELECTRIC,CP,50514.95,1
20260917,65958065,RINGGIT MALAYSIA,LOCAL,NOT ON US,WATSONS PERSONAL CARE,CP,22885.39,1
20260929,65958065,RINGGIT MALAYSIA,LOCAL,NOT ON US,PARKSON GRAND-PAVILION,CP,16437.55,1
20260925,65958065,RINGGIT MALAYSIA,LOCAL,ON US,MR DIY-SUNWAY PYRAMID,CA,6555.5,1
20260918,65958065,RINGGIT MALAYSIA,LOCAL,ON US,ZALORA MALAYSIA,CA,14762.9,1
20261031,43986317,RINGGIT MALAYSIA,LOCAL,ON US,PARKSON GRAND-PAVILION,CP,2931.97,1
20261021,43986317,RINGGIT MALAYSIA,OVERSEA,NOT ON US,AEON BIG (M) SDN BHD-KEPONG,CA,8103.36,1
20261107,88056581,RINGGIT MALAYSIA,LOCAL,ON US,SENHENG ELECTRIC,CP,38591.35,1
20260929,88056581,RINGGIT MALAYSIA,LOCAL,ON US,COURTS MAMMOTH,CA,67045.55,1
20261022,24032975,RINGGIT MALAYSIA,LOCAL,ON US,SHELL MALAYSIA,CA,9096.83,1
20261108,24032975,RINGGIT MALAYSIA,LOCAL,NOT ON US,ECONSAVE-JOHOR,CP,46283.82,1
20261023,65751880,RINGGIT MALAYSIA,LOCAL,ON US,GUARDIAN HEALTH-KLCC,CP,21919.56,1
20261104,65751880,RINGGIT MALAYSIA,LOCAL,ON US,AEON BIG (M) SDN BHD-KEPONG,CP,16983.56,1
20261021,65751880,RINGGIT MALAYSIA,LOCAL,NOT ON US,KFC HOLDINGS,CA,18826.37,1
20260917,14713027,RINGGIT MALAYSIA,LOCAL,NOT ON US,GIANT HYPERMARKET-SHAH ALAM,CP,35400.15,1
20261004,14713027,RINGGIT MALAYSIA,LOCAL,ON US,ZALORA MALAYSIA,CP,16262.76,1
20261017,14713027,RINGGIT MALAYSIA,LOCAL,ON US,LAZADA MALAYSIA,CP,19686.76,1
20261003,14713027,RINGGIT MALAYSIA,LOCAL,NOT ON US,MCDONALD'S MALAYSIA,CP,22997.11,1
20261017,16576388,RINGGIT MALAYSIA,LOCAL,ON US,SENHENG ELECTRIC,CP,1844.95,1
20261023,16576388,RINGGIT MALAYSIA,LOCAL,NOT ON US,MR DIY-SUNWAY PYRAMID,CP,9104.61,1
20260920,46740707,RINGGIT MALAYSIA,LOCAL,ON US,PETRONAS DAGANGAN,CP,17325.63,1
20261006,46740707,RINGGIT MALAYSIA,LOCAL,NOT ON US,PETRONAS DAGANGAN,CP,7062.95,1
20261012,46740707,RINGGIT MALAYSIA,OVERSEA,ON US,ECONSAVE-JOHOR,CP,6653.82,1
20260926,46740707,RINGGIT MALAYSIA,OVERSEA,ON US,SHOPEE PAY,CP,3633.72,1
20261030,46740707,RINGGIT MALAYSIA,LOCAL,ON US,KFC HOLDINGS,CA,6324.46,1
20261018,20501450,RINGGIT MALAYSIA,LOCAL,ON US,HARVEY NORMAN-IOI CITY,CP,130306.52,1
20261119,20235011,RINGGIT MALAYSIA,LOCAL,ON US,MYDIN MOHAMED HOLDINGS,CA,14203.33,1
20261005,20235011,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHOPEE PAY,CP,11617.47,1
20261113,20235011,RINGGIT MALAYSIA,LOCAL,NOT ON US,KFC HOLDINGS,CP,46358.96,1
20260920,73584629,RINGGIT MALAYSIA,OVERSEA,NOT ON US,WATSONS PERSONAL CARE,CP,15228.15,1
20261015,73584629,RINGGIT MALAYSIA,LOCAL,NOT ON US,LAZADA MALAYSIA,CP,12924.14,1
20260927,73584629,RINGGIT MALAYSIA,LOCAL,NOT ON US,HARVEY NORMAN-IOI CITY,CP,40797.62,1
20260928,90426416,RINGGIT MALAYSIA,LOCAL,ON US,PETRONAS DAGANGAN,CA,14148.86,1
20261028,90426416,RINGGIT MALAYSIA,LOCAL,ON US,KFC HOLDINGS,CP,22533.17,1
20260922,90426416,RINGGIT MALAYSIA,LOCAL,NOT ON US,GUARDIAN HEALTH-KLCC,CP,48991.15,1
20261111,81406369,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHOPEE PAY,CP,61128.87,1
20260914,20439138,RINGGIT MALAYSIA,LOCAL,NOT ON US,SENHENG ELECTRIC,CP,12606.46,1
20260910,20439138,RINGGIT MALAYSIA,LOCAL,NOT ON US,KFC HOLDINGS,CA,23935.36,1
20261005,20439138,RINGGIT MALAYSIA,OVERSEA,NOT ON US,WATSONS PERSONAL CARE,CP,9530.11,1
20261010,20439138,RINGGIT MALAYSIA,OVERSEA,NOT ON US,MCDONALD'S MALAYSIA,CP,8296.23,1
20261018,20439138,RINGGIT MALAYSIA,LOCAL,NOT ON US,COURTS MAMMOTH,CP,13628.87,1
20261030,26255108,RINGGIT MALAYSIA,LOCAL,NOT ON US,PETRONAS DAGANGAN,CP,38655.09,1
